date,quantitative_only_gross,quantitative_only_net,equal_weight_gross,equal_weight_net,benchmark
2024-04-04,182912.1636117479,180425.55848122557,169659.15666091637,169242.10776931723,139089.35178325282
2024-04-05,187479.2278746815,184930.5356461587,172953.18503501767,172528.0389035798,140633.13150627707
2024-04-08,186544.60444736484,184008.61798626385,172641.7206090112,172217.34010612057,140580.4459758243
2024-04-09,186775.0420102607,184235.9228585018,173335.44979832094,172909.3639999711,140783.6540535862
2024-04-10,186743.12713589033,184204.4418518895,172874.22016947833,172449.26814609984,139452.26576149062
2024-04-11,189011.0580049327,186441.54126378178,176221.59400775176,175788.41361299332,140490.45967036774
2024-04-12,185920.44123278666,183392.93997803284,174329.76094152112,173901.23096999296,138446.22678317034
2024-04-15,182353.49270185488,179874.48244049476,170983.73103808353,170563.42613433214,136781.9155498315
2024-04-16,182227.83226431758,179750.53029770678,170215.73452485466,169797.3174773257,136500.6225812057
2024-04-17,180727.57860255297,178270.67188128163,169193.01588470893,168777.11284045386,135711.56671039754
2024-04-18,180264.25429089813,177813.64624647642,168662.26308079652,168247.66471041192,135411.89384096517
2024-04-19,175557.0331862404,173170.41760638868,165117.40431752414,164711.51976752622,134225.8822517318
2024-04-22,176745.67454191946,174342.89993997198,166452.85275432214,166043.68546202304,135397.84172728317
2024-04-23,180252.34189454358,177801.89579356677,169066.397704586,168650.80590773257,137017.8195315408
2024-04-24,179527.42121932027,177086.8300751415,169065.04947500824,168649.46099231517,137047.00570568594
2024-04-25,170451.7084740801,168134.497390745,163561.69966930425,163159.63928601777,136419.819628916
2024-04-26,174653.98921447093,172279.65009414466,168844.11150789753,168429.0661254774,137812.54902571352
2024-04-29,172574.49965364934,170228.4302192133,167555.93806233018,167144.05921284723,138250.57913840355
2024-04-30,168727.26745548003,166433.49933952047,163855.28828258262,163452.50621230813,136075.82652487533
2024-05-01,171561.93219029863,169080.32068357882,165782.96205867137,165362.10073571463,135608.34634858134
2024-05-02,174733.48739519157,172205.9999310832,168561.17993035942,168133.2657448261,136846.2386054181
2024-05-03,176994.26120407585,174434.07206642843,172481.89540437845,172044.02797949626,138564.58120544968
2024-05-06,179841.36623018552,177239.99424676673,174424.34273723644,173981.54416053908,139995.41624010034
2024-05-07,181107.20144134716,178487.51938654177,175043.9772686031,174599.6056701345,140183.4902573991
